name,numerical_sigma,integral_result,integral_error,epsabs
J0226-0420,264.57310589314187,13723.799537794286,104334302.79822351,0.0149
J0223-0534,257.0192834851569,12992.968820615939,98457134.20682944,0.0149
J0157-0056,252.11133951915468,18833.822350919094,71838791.60320476,0.0149
J0151+0049,198.7441547330323,12843.492233170888,58041882.570280954,0.0149
J1545+2748,270.92421862194493,23937.593458565643,107857021.47814468,0.0149
J1405+5243,256.92449979940704,14497.430550742862,98237915.83505154,0.0149
J0830+5116,261.83508755746215,22462.665099788326,100741510.8468222,0.0149
J0944-0147,219.24295439464024,15829.513685725115,70632417.77295639,0.0149
J1601+2138,224.09232879154126,16583.286389722012,73791572.76438513,0.0149
J1337+3620,311.6547863944447,32417.219463728725,142725118.81198138,0.0149
J0214-0405,277.4509197817818,17637.63382700215,114501301.51357958,0.0149
J1215+0047,319.0585435571245,35205.21048627191,115057587.37949501,0.0149
J0217-0513,270.25538901946953,18686.68649667436,108500501.68432628,0.0149
J1406+5226,264.19404304332795,17478.600981717904,103712777.35400572,0.0149
J0213-0743,340.2446221855086,25159.263217855205,172309524.1203017,0.0149
J0212-0555,260.5123703172581,15198.110733711881,100975924.70225117,0.0149
J1359+5535,249.73202000654757,14462.412097329136,92751933.86593296,0.0149
HST14176+5226,271.0464646268301,18736.818227375952,109140414.15484029,0.0149
CFRS03.1077,274.12399132051746,20020.52120358554,111580502.50634564,0.0149
J2321-0939,240.10889884740445,7447.191801281745,86574202.81956239,0.00149
J1106+5228,222.05382131801923,6932.842653573569,73911899.0323661,0.00149
J1143-0144,264.87491456426807,10396.325891966286,105059031.75833432,0.00149
J0841+3824,230.1123652056809,8225.65077162025,79222875.78602391,0.00149
J0044+0113,252.92549381295194,10113.812656253813,94001263.6719718,0.00149
J1213+6708,233.44444777806055,8726.438229791807,81489592.04018635,0.00149
J1451-0239,206.0032666496695,6852.134875351085,63448301.869536355,0.00149
J1218+0830,235.91994457066318,9347.510303759553,83158873.05505638,0.00149
J1134+6027,225.44623863103251,9090.19738641385,75861464.36844018,0.00149
J2303+1422,269.2174455014744,13046.471822129599,108167730.30371027,0.00149
J1531-0105,261.73788756995685,12526.616232737351,102215982.15659761,0.00149
J1204+0358,235.97509836813882,10306.305554306595,83068691.42233954,0.00149
J1016+3859,235.60888478634934,10396.129099857024,82796316.96134463,0.00149
J1153+4612,204.7241816570521,8115.879370544379,62481538.83836043,0.00149
J2341+0000,243.7614119078521,11688.149675308807,88561534.20629452,0.00149
J1403+0006,209.24092067975317,8677.96170219837,65247123.07372905,0.00149
J0936+0913,226.03080057844565,10151.921132342999,76135631.55465859,0.00149
J1023+4230,248.4868048399805,12299.886322313772,92011920.55976686,0.00149
J0037-0942,265.5922719199233,14224.245520658376,105097875.29904425,0.00149
J1402+6321,273.70698268131184,15427.846851401417,111585787.06268632,0.00149
J0728+3835,238.6984713770314,11760.256901971461,84863902.01932213,0.00149
J1627-0053,255.04294339205617,13486.34294570241,96877710.70638895,0.00149
J1205+4910,265.4734749936101,14837.239740983905,104942211.40726098,0.00149
J0808+4706,224.36512216587784,10687.985647993873,74949688.85059537,0.00149
J0946+1006,264.04415700058513,14894.92824678795,103795056.30266578,0.00149
J1142+1001,236.85267606527074,11985.106135926464,83518009.99370709,0.00149
J1251-0208,194.48277179369882,8113.75501439119,56307020.54850646,0.00149
J0029-0055,202.32572490746014,8834.574222940988,60935201.71277138,0.00149
J1636+4707,230.1802210812199,11457.34911207158,78866181.16451247,0.00149
J2300+0022,279.63000371225274,16908.912536919674,116391788.91974658,0.00149
J1250+0523,226.86154979075195,11217.101652375643,76600657.1913627,0.00149
J0225-0454,266.18311565617563,10947.368683749028,106016710.88983953,0.00149
J0822+2652,252.0553809828116,14084.921096503225,94538373.21153659,0.00149
J1621+3931,265.13384006110016,15698.885883960847,104593922.00804932,0.00149
J1630+4520,289.80580904288263,18857.77934114016,124957118.780227,0.00149
J0849-0251,209.48794663491216,7415.454311006117,65562119.53179103,0.00149
J1020+1122,284.5565687010178,19219.278977286256,118984324.85789564,0.00149
J1436-0000,240.00545230532035,13733.524254348249,84643715.25900587,0.00149
J0109+1500,228.07836342887424,12565.05523969781,58795226.378906,0.00149
J1416+5136,269.109069866943,17615.448759703544,106416492.99541143,0.00149
J1411+5651,200.52610742147738,9268.1962479458,59806498.3044328,0.00149
J2221+0115,233.71171278521393,12133.807802235655,81276704.60705304,0.00149
J0850-0347,186.86163874883266,5441.389310572405,52237934.81283293,0.00149
J0330-0020,234.76254960742403,14295.518946207732,81860776.23833871,0.00149
J1542+1629,232.31211038918588,15341.108336812858,60998329.64052225,0.00149
J0232-0408,203.52306213082917,7538.088549290504,61808009.31677735,0.00149
J1525+3327,298.0247733791337,23214.096085159905,130514031.2378364,0.00149
J2125+0411,255.23701731799122,18738.304781956514,73631148.93871932,0.00149
J0855-0147,198.12799347099917,6309.326703818219,58694611.61492734,0.00149
J1420+5258,229.6419128116167,10368.499487384282,78599615.23964947,0.00149
J0219-0829,233.1891826201005,10276.38261740239,81093427.96895155,0.00149
J1637+1439,201.12906144420546,11963.86461089868,45721862.91661684,0.00149
J2203+0205,287.2461180722549,17347.449622356165,122863835.188991,0.00149
J1631+1854,300.94595794866365,27202.84990852609,133085200.1168053,0.00149
J0855-0409,234.35565907445783,9286.431514460377,82050485.82541059,0.00149
J0903+4116,273.52594858081386,20913.05414180267,111039495.31997587,0.00149
J2222+0012,271.08986266295227,15930.397787303154,109387506.55354585,0.00149
J0747+4448,203.79070169207128,12779.593506431225,46940015.97163669,0.00149
J2303+0037,265.0485905353821,21965.758446951735,79400891.52968799,0.00149
J1420+5630,242.6703962404734,12590.18492453561,87670408.40767547,0.00149
Q0047-2808,234.88539506457417,12093.526878062086,82109018.49638009,0.00149
J0226-0420,264.57310590300324,13723.799538817331,104334302.79822351,0.00149
J0223-0534,257.0192834970304,12992.968821816412,98457134.20682944,0.00149
J0157-0056,252.11133946669995,18833.822343081894,71838791.60320476,0.00149
J0151+0049,198.74415499693575,12843.49226727948,58041882.570280954,0.00149
J1545+2748,270.92421861122335,23937.59345667103,107857021.47814468,0.00149
J1405+5243,256.9244998126522,14497.430552237623,98237915.83505154,0.00149
J0830+5116,261.83508755357246,22462.66509912094,100741510.8468222,0.00149
J0944-0147,219.24295451824398,15829.513703573686,70632417.77295639,0.00149
J1601+2138,224.09232901045502,16583.286422122135,73791572.76438513,0.00149
J1337+3620,311.65478643537807,32417.219472244207,142725118.81198138,0.00149
J0214-0405,277.4509197975827,17637.633829011083,114501301.51357958,0.00149
J1215+0047,319.05854358567575,35205.210492572645,115057587.37949501,0.00149
J0217-0513,270.25538903050915,18686.686498201023,108500501.68432628,0.00149
J1406+5226,264.1940430593244,17478.600983834494,103712777.35400572,0.00149
J0213-0743,340.2446221942681,25159.26321915064,172309524.1203017,0.00149
J0212-0555,260.5123703309368,15198.110735307893,100975924.70225117,0.00149
J1359+5535,249.73202001193803,14462.412097953478,92751933.86593296,0.00149
HST14176+5226,271.0464646360406,18736.818228649354,109140414.15484029,0.00149
CFRS03.1077,274.1239913273338,20020.521204581197,111580502.50634564,0.00149
J2321-0939,240.10889884794997,7447.1918013155855,86574202.819394,0.000149
J1106+5228,222.05382131937782,6932.842653658404,73911899.03228962,0.000149
J1143-0144,264.874914565413,10396.325892056168,105059031.75812994,0.000149
J0841+3824,230.1123652084308,8225.650771816847,79222875.78586982,0.000149
J0044+0113,252.92549381952057,10113.812656779137,94001263.67178893,0.000149
J1213+6708,233.4444477785208,8726.438229826219,81489592.04002787,0.000149
J1451-0239,206.00326665095795,6852.134875436797,63448301.86947076,0.000149
J1218+0830,235.91994457131025,9347.51030381083,83158873.05489467,0.000149
